500 2
1 1 218
2 2 570
3 1 629
4 1 221
5 2 856
6 1 687
7 1 930
8 2 209
9 1 465
10 1 322
11 2 633
12 2 23
13 1 810
14 2 194
15 1 615
16 2 92
17 2 510
18 2 409
19 1 178
20 1 528
21 1 682
22 1 28
23 2 573
24 1 210
25 2 662
26 1 820
27 1 511
28 2 355
29 2 493
30 2 479
31 2 487
32 2 196
33 2 772
34 2 542
35 1 655
36 1 114
37 1 526
38 1 65
39 1 736
40 1 769
41 1 961
42 2 385
43 1 814
44 1 126
45 1 789
46 1 323
47 2 652
48 2 717
49 2 911
50 2 830
51 2 291
52 1 43
53 1 362
54 2 688
55 1 609
56 1 521
57 1 925
58 1 222
59 1 652
60 2 198
61 1 867
62 1 101
63 2 638
64 1 489
65 1 907
66 1 181
67 2 650
68 2 109
69 1 164
70 2 605
71 1 180
72 1 545
73 2 67
74 1 961
75 2 430
76 1 568
77 2 952
78 1 613
79 2 391
80 2 478
81 1 674
82 1 672
83 1 288
84 1 829
85 1 780
86 1 718
87 1 295
88 2 789
89 2 319
90 1 716
91 1 581
92 1 107
93 1 53
94 2 493
95 2 171
96 2 973
97 1 699
98 2 561
99 1 833
100 2 280
101 2 504
102 2 614
103 2 669
104 2 119
105 1 469
106 1 548
107 1 544
108 1 951
109 1 652
110 1 144
111 2 828
112 1 483
113 1 619
114 2 154
115 2 92
116 1 405
117 1 104
118 2 207
119 2 885
120 1 394
121 1 496
122 2 436
123 2 127
124 1 768
125 2 878
126 2 737
127 2 118
128 2 905
129 2 119
130 2 609
131 2 803
132 2 60
133 1 917
134 2 317
135 1 434
136 1 357
137 2 348
138 2 817
139 2 720
140 1 745
141 1 260
142 2 644
143 2 43
144 2 865
145 2 177
146 2 809
147 2 224
148 1 645
149 2 99
150 2 179
151 2 580
152 1 548
153 1 295
154 2 56
155 2 654
156 1 322
157 2 829
158 2 123
159 2 280
160 1 422
161 2 169
162 2 376
163 1 727
164 1 209
165 1 739
166 2 789
167 1 880
168 1 213
169 1 202
170 1 58
171 1 546
172 2 950
173 1 302
174 2 953
175 1 979
176 2 382
177 1 648
178 2 664
179 2 34
180 2 400
181 1 617
182 2 31
183 1 584
184 2 258
185 2 561
186 2 255
187 2 931
188 2 216
189 1 222
190 2 327
191 1 824
192 1 998
193 2 422
194 2 464
195 1 452
196 1 122
197 2 399
198 1 281
199 2 354
200 1 800
201 1 129
202 1 568
203 2 624
204 1 983
205 2 541
206 2 992
207 1 564
208 1 357
209 2 543
210 1 242
211 2 608
212 2 540
213 1 12
214 1 635
215 2 481
216 1 440
217 1 299
218 2 961
219 1 175
220 1 572
221 2 360
222 1 846
223 1 69
224 2 293
225 2 21
226 1 278
227 1 31
228 1 296
229 1 544
230 2 933
231 1 386
232 1 789
233 1 117
234 2 308
235 2 159
236 2 838
237 1 140
238 2 342
239 2 333
240 2 899
241 1 895
242 2 337
243 1 22
244 2 229
245 1 350
246 1 724
247 1 941
248 1 794
249 1 298
250 2 749
251 1 341
252 1 717
253 1 457
254 1 533
255 1 977
256 2 596
257 1 55
258 1 107
259 1 751
260 2 518
261 1 39
262 2 923
263 2 473
264 1 364
265 2 861
266 1 773
267 1 860
268 1 889
269 2 712
270 1 722
271 1 489
272 1 171
273 2 343
274 2 564
275 1 493
276 2 92
277 1 584
278 2 724
279 1 437
280 2 442
281 1 231
282 1 113
283 2 801
284 2 900
285 1 569
286 2 561
287 2 486
288 1 487
289 2 822
290 1 146
291 2 992
292 1 737
293 2 38
294 2 21
295 1 790
296 2 615
297 2 495
298 1 150
299 1 490
300 2 417
301 2 518
302 1 368
303 2 616
304 2 184
305 2 198
306 2 386
307 1 736
308 1 877
309 1 777
310 2 131
311 1 196
312 2 221
313 2 378
314 1 510
315 1 800
316 2 705
317 1 271
318 1 909
319 1 128
320 2 490
321 2 844
322 1 547
323 2 653
324 1 625
325 1 922
326 2 526
327 1 445
328 2 681
329 2 451
330 1 806
331 2 596
332 2 965
333 2 678
334 1 745
335 2 749
336 1 824
337 2 577
338 2 422
339 1 784
340 2 375
341 1 272
342 1 23
343 1 415
344 1 462
345 1 832
346 2 243
347 2 786
348 1 917
349 1 54
350 1 176
351 2 246
352 1 212
353 2 541
354 1 784
355 1 632
356 2 412
357 1 148
358 2 447
359 2 892
360 2 665
361 1 404
362 2 552
363 1 527
364 1 309
365 1 88
366 2 924
367 2 49
368 2 913
369 2 815
370 2 637
371 1 188
372 2 55
373 1 132
374 1 247
375 1 122
376 1 789
377 1 75
378 2 285
379 2 693
380 2 398
381 2 263
382 1 82
383 1 76
384 2 19
385 1 138
386 1 318
387 2 148
388 2 851
389 1 457
390 2 902
391 2 868
392 2 26
393 1 212
394 1 132
395 2 870
396 2 885
397 2 88
398 1 542
399 1 602
400 1 132
401 2 547
402 1 346
403 1 258
404 1 893
405 2 552
406 1 727
407 2 123
408 1 139
409 1 556
410 2 157
411 2 308
412 1 633
413 1 563
414 2 698
415 2 194
416 2 90
417 2 230
418 1 686
419 1 398
420 2 705
421 2 767
422 2 688
423 1 757
424 2 201
425 1 716
426 2 590
427 1 447
428 1 701
429 2 168
430 1 794
431 2 58
432 1 812
433 1 979
434 2 118
435 2 58
436 2 244
437 2 113
438 2 689
439 1 570
