1000 2
1 2 507
2 1 147
3 1 163
4 1 918
5 1 456
6 2 958
7 1 724
8 1 896
9 2 101
10 2 531
11 2 976
12 2 325
13 2 440
14 1 182
15 1 776
16 1 468
17 2 95
18 1 846
19 1 151
20 2 287
21 2 387
22 2 886
23 2 357
24 2 407
25 1 883
26 1 790
27 1 247
28 2 30
29 2 916
30 1 621
31 1 95
32 1 574
33 1 227
34 2 690
35 2 123
36 2 356
37 2 976
38 2 79
39 2 826
40 2 581
41 1 358
42 1 453
43 1 365
44 1 653
45 1 862
46 1 210
47 1 647
48 2 870
49 1 277
50 2 876
51 2 584
52 1 796
53 2 867
54 2 167
55 2 550
56 1 945
57 1 607
58 1 201
59 2 667
60 2 543
61 1 311
62 2 864
63 2 624
64 1 241
65 2 490
66 1 975
67 2 907
68 1 666
69 1 934
70 1 307
71 1 490
72 1 977
73 1 85
74 2 430
75 2 569
76 1 1000
77 2 828
78 1 176
79 2 182
80 1 806
81 2 39
82 2 83
83 1 668
84 2 409
85 1 782
86 1 693
87 2 304
88 2 199
89 1 761
90 2 516
91 1 310
92 1 740
93 2 134
94 1 366
95 2 860
96 1 479
97 2 953
98 2 119
99 1 338
100 2 319
101 1 317
102 1 536
103 1 539
104 1 526
105 2 841
106 2 371
107 1 572
108 1 609
109 2 669
110 1 215
111 2 712
112 2 227
113 1 536
114 2 534
115 2 885
116 2 754
117 1 105
118 1 635
119 1 86
120 1 479
121 1 886
122 1 187
123 1 487
124 1 534
125 2 590
126 1 450
127 1 58
128 1 718
129 1 673
130 1 259
131 1 665
132 2 166
133 2 573
134 2 713
135 2 975
136 1 336
137 2 562
138 2 804
139 2 614
140 1 950
141 1 11
142 1 765
143 2 856
144 1 539
145 1 641
146 2 333
147 2 720
148 2 433
149 1 969
150 1 47
151 2 505
152 2 894
153 1 488
154 2 235
155 1 797
156 2 860
157 2 380
158 1 654
159 1 78
160 2 451
161 2 832
162 2 749
163 2 547
164 1 865
165 2 857
166 1 847
167 2 942
168 2 876
169 2 570
170 2 297
171 2 532
172 1 849
173 2 606
174 1 490
175 2 740
176 1 991
177 2 374
178 2 341
179 1 835
180 1 737
181 1 892
182 2 991
183 2 108
184 1 275
185 2 410
186 2 739
187 1 866
188 1 957
189 2 944
190 1 635
191 1 715
192 2 458
193 1 636
194 2 892
195 2 777
196 1 201
197 1 330
198 1 927
199 2 133
200 2 289
201 2 724
202 1 83
203 1 274
204 2 431
205 2 717
206 2 997
207 1 767
208 2 652
209 1 655
210 2 277
211 1 967
212 1 66
213 2 772
214 2 129
215 2 335
216 1 741
217 2 705
218 2 836
219 1 211
220 2 918
221 2 134
222 2 528
223 2 250
224 1 232
225 1 151
226 2 887
227 2 939
228 2 434
229 1 797
230 1 758
231 2 849
232 1 134
233 2 25
234 1 912
235 2 610
236 1 236
237 2 174
238 2 947
239 2 17
240 1 87
241 2 390
242 2 36
243 1 918
244 1 755
245 1 846
246 2 659
247 2 311
248 2 896
249 1 421
250 2 449
251 1 863
252 1 136
253 2 558
254 2 592
255 2 927
256 1 689
257 2 176
258 1 488
259 1 479
260 1 519
261 2 42
262 2 668
263 2 872
264 2 843
265 1 785
266 1 734
267 2 235
268 2 608
269 1 103
270 2 684
271 2 17
272 1 898
273 2 194
274 2 445
275 2 980
276 1 917
277 2 713
278 1 597
279 1 163
280 2 302
281 2 200
282 1 289
283 1 584
284 2 874
285 1 86
286 1 323
287 1 572
288 2 373
289 1 801
290 2 867
291 1 484
292 1 629
293 2 122
294 2 716
295 1 177
296 2 442
297 2 665
298 2 855
299 1 516
300 2 827
301 2 150
302 1 542
303 1 697
304 2 602
305 1 515
306 2 182
307 1 769
308 1 655
309 1 875
310 1 656
311 1 729
312 1 692
313 1 583
314 1 248
315 2 708
316 2 269
317 1 896
318 1 655
319 1 919
320 2 420
321 2 616
322 2 546
323 2 607
324 2 687
325 2 839
326 2 779
327 1 188
328 1 814
329 1 894
330 2 136
331 1 239
332 2 412
333 1 268
334 1 222
335 2 202
336 1 557
337 2 822
338 1 556
339 1 426
340 2 98
341 1 991
342 2 663
343 2 673
344 1 708
345 1 579
346 2 128
347 1 12
348 2 212
349 2 977
350 2 113
351 2 629
352 2 234
353 1 787
354 2 840
355 2 348
356 1 909
357 1 897
358 2 468
359 2 998
360 2 664
361 1 170
362 1 416
363 2 323
364 2 948
365 1 581
366 2 184
367 2 895
368 1 323
369 1 395
370 2 300
371 1 735
372 1 885
373 1 703
374 2 975
375 2 346
376 1 689
377 2 515
378 1 713
379 1 250
380 1 553
381 1 841
382 2 856
383 2 687
384 1 623
385 1 562
386 2 339
387 2 868
388 2 845
389 2 673
390 1 533
391 2 489
392 2 519
393 1 62
394 1 61
395 2 372
396 2 727
397 1 923
398 2 270
399 2 225
400 1 139
401 2 994
402 2 135
403 1 317
404 2 156
405 1 82
406 1 163
407 1 564
408 1 185
409 2 617
410 1 994
411 1 546
412 1 902
413 1 635
414 1 214
415 1 157
416 2 926
417 1 223
418 1 215
419 2 288
420 2 907
421 1 980
422 1 385
423 2 978
424 2 652
425 1 47
426 2 627
427 2 978
428 1 926
429 2 617
430 2 644
431 1 928
432 2 120
433 2 28
434 2 726
435 2 874
436 1 421
437 1 369
438 1 128
439 1 494
440 1 838
441 1 769
442 2 46
443 2 653
444 1 576
445 2 898
446 2 293
447 1 927
448 2 888
449 2 228
450 1 396
451 2 131
452 1 771
453 2 563
454 2 429
455 1 433
456 2 23
457 1 866
458 1 666
459 1 863
460 1 687
461 1 558
462 2 140
463 1 564
464 1 144
465 1 890
466 1 260
467 2 818
468 2 12
469 2 951
470 1 635
471 2 814
472 2 897
473 1 860
474 1 991
475 2 76
476 2 827
477 1 150
478 2 58
479 2 734
480 1 529
481 2 424
482 1 748
483 2 224
484 2 338
485 2 242
486 1 707
487 2 549
488 2 165
489 2 675
490 2 809
491 1 922
492 2 843
493 2 803
494 1 855
495 1 932
496 2 26
497 1 348
498 2 785
499 1 292
500 2 86
501 2 683
502 1 962
503 2 631
504 1 25
505 1 50
506 2 212
507 2 436
508 1 215
509 2 519
510 1 90
511 2 552
512 2 695
513 1 347
514 2 366
515 2 864
516 2 782
517 2 185
518 2 102
519 1 592
520 2 455
521 1 717
522 1 867
523 1 196
524 2 17
525 1 265
526 1 772
527 1 757
528 2 187
529 1 482
530 1 341
531 2 998
532 2 418
533 2 929
534 1 672
535 2 538
536 2 787
537 2 108
538 2 585
539 1 266
540 2 609
541 1 141
542 1 671
543 2 112
544 2 785
545 1 289
546 2 532
547 2 783
548 2 389
549 1 877
550 2 674
551 1 249
552 1 717
553 2 619
554 2 593
555 2 40
556 2 377
557 1 200
558 2 423
559 2 871
560 1 642
561 2 705
562 1 890
563 1 193
564 2 635
565 1 606
566 1 520
567 1 166
568 1 718
569 1 377
570 2 673
571 1 215
572 2 878
573 1 563
574 2 386
575 1 871
576 1 942
577 2 188
578 1 479
579 1 754
580 2 651
581 1 639
582 2 56
583 2 563
584 2 675
585 2 876
586 2 310
587 2 414
588 1 18
589 1 921
590 1 724
591 1 227
592 2 303
593 2 899
594 1 429
595 2 926
596 1 221
597 2 551
598 1 763
599 1 485
600 1 310
601 1 380
602 1 488
603 1 836
604 1 371
605 1 569
606 1 26
607 1 924
608 2 896
609 1 658
610 1 890
611 2 922
612 1 283
613 1 590
614 1 744
615 1 565
616 1 593
617 1 760
618 1 781
619 1 190
620 2 830
621 1 235
622 1 400
623 2 183
624 2 632
625 1 704
626 2 593
627 2 539
628 1 590
629 1 741
630 1 681
631 2 272
632 2 855
633 2 102
634 2 491
635 2 730
636 2 845
637 1 968
638 2 124
639 2 786
640 1 368
641 2 844
642 2 207
643 2 906
644 2 816
645 1 255
646 2 149
647 1 104
648 1 90
649 1 960
650 1 756
651 2 385
652 1 589
653 1 797
654 1 858
655 2 317
656 1 844
657 1 366
658 2 70
659 2 57
660 1 502
661 2 920
662 2 116
663 2 485
664 2 84
665 2 320
666 1 210
667 1 76
668 1 611
669 1 217
670 2 880
671 1 635
672 2 880
673 1 258
674 1 512
675 1 468
676 1 22
677 1 486
678 2 580
679 1 331
680 1 486
681 2 371
682 1 30
683 1 637
684 1 999
685 2 271
686 1 16
687 2 726
688 2 767
689 1 369
690 2 455
691 2 713
692 1 683
693 2 544
694 1 686
695 2 95
696 2 839
697 1 155
698 1 277
699 1 405
700 1 380
701 1 634
702 2 654
703 2 399
704 1 794
705 1 562
706 1 679
707 1 776
708 2 21
709 2 87
710 2 951
711 2 675
712 1 762
713 2 210
714 2 350
715 1 981
716 2 214
717 2 33
718 1 470
719 1 153
720 2 658
721 1 443
722 2 243
723 1 628
724 1 818
725 2 353
726 2 792
727 2 752
728 1 857
729 2 24
730 1 970
731 2 302
732 2 660
733 2 244
734 2 880
735 2 398
736 2 925
737 1 730
738 1 156
739 2 380
740 1 453
741 2 429
742 2 782
743 2 352
744 2 610
745 1 339
746 1 83
747 2 712
748 2 722
749 1 700
750 2 137
751 1 389
752 2 466
753 1 50
754 2 33
755 1 967
756 1 589
757 2 905
758 2 988
759 2 848
760 1 470
761 1 424
762 1 960
763 1 685
764 1 134
765 2 432
766 2 615
767 1 759
768 2 523
769 1 655
770 1 44
771 1 807
772 2 989
773 2 15
774 2 547
775 1 659
776 1 611
777 2 950
778 2 41
779 2 295
780 1 728
