500 2
1 2 620
2 1 323
3 2 820
4 2 118
5 1 151
6 2 680
7 1 382
8 1 452
9 2 844
10 2 67
11 1 953
12 2 121
13 2 107
14 2 135
15 2 524
16 1 74
17 2 28
18 2 23
19 2 844
20 1 460
21 2 189
22 2 467
23 1 900
24 2 546
25 1 694
26 1 326
27 1 450
28 1 986
29 1 706
30 1 346
31 2 303
32 2 552
33 1 493
34 2 706
35 1 619
36 2 575
37 1 452
38 2 819
39 2 417
40 2 77
41 2 801
42 2 974
43 1 923
44 1 187
45 1 22
46 2 591
47 1 924
48 2 716
49 2 53
50 2 129
51 1 822
52 1 48
53 1 115
54 1 494
55 1 571
56 1 461
57 2 759
58 2 751
59 1 352
60 1 646
61 2 769
62 2 916
63 1 343
64 1 740
65 1 227
66 1 664
67 2 658
68 2 65
69 1 161
70 2 76
71 1 510
72 2 409
73 1 406
74 2 464
75 1 649
76 2 312
77 2 509
78 2 817
79 1 142
80 1 305
81 2 780
82 1 766
83 1 48
84 1 660
85 1 369
86 2 99
87 1 824
88 2 829
89 2 38
90 1 738
91 2 875
92 2 488
93 2 757
94 2 103
95 1 309
96 1 850
97 2 947
98 1 61
99 1 105
100 2 57
101 2 429
102 2 909
103 1 475
104 1 906
105 1 793
106 2 753
107 2 393
108 2 279
109 1 66
110 1 529
111 1 769
112 1 940
113 1 694
114 1 450
115 2 939
116 1 80
117 1 591
118 1 24
119 2 657
120 2 60
121 2 898
122 2 220
123 2 259
124 1 466
125 1 883
126 1 655
127 1 153
128 2 617
129 2 375
130 2 14
131 2 748
132 1 681
133 1 141
134 1 492
135 2 187
136 1 55
137 2 482
138 2 265
139 1 306
140 1 188
141 2 16
142 1 741
143 2 61
144 2 747
145 2 732
146 2 311
147 1 194
148 2 192
149 1 929
150 2 954
151 1 700
152 2 525
153 1 366
154 2 444
155 1 964
156 1 514
157 2 505
158 1 422
159 2 512
160 1 459
161 1 998
162 2 952
163 1 48
164 2 320
165 2 934
166 2 422
167 1 503
168 2 944
169 2 728
170 1 983
171 1 637
172 1 858
173 1 469
174 2 483
175 2 167
176 1 179
177 1 694
178 1 89
179 1 623
180 2 376
181 2 608
182 2 399
183 1 553
184 1 169
185 1 20
186 2 980
187 2 677
188 2 26
189 2 534
190 1 634
191 2 849
192 2 488
193 2 383
194 1 76
195 1 361
196 2 471
197 1 596
198 2 587
199 2 711
200 2 980
201 1 674
202 2 397
203 1 51
204 2 588
205 1 415
206 2 333
207 1 369
208 2 337
209 2 316
210 2 919
211 2 512
212 1 185
213 2 193
214 1 269
215 2 144
216 2 985
217 2 201
218 1 936
219 1 895
220 2 601
221 1 364
222 2 448
223 2 860
224 2 375
225 2 23
226 1 330
227 2 70
228 2 239
229 1 468
230 2 307
231 2 76
232 1 482
233 1 450
234 2 66
235 1 468
236 2 170
237 1 846
238 2 308
239 1 886
240 2 124
241 2 133
242 2 243
243 1 922
244 2 626
245 1 647
246 2 581
247 2 263
248 2 953
249 1 816
250 2 961
251 1 622
252 1 406
253 1 180
254 2 132
255 2 906
256 1 850
257 2 898
258 2 256
259 1 454
260 2 248
261 2 630
262 2 267
263 2 639
264 2 728
265 2 552
266 1 911
267 2 633
268 2 545
269 1 881
270 2 881
271 1 772
272 1 500
273 2 557
274 2 122
275 2 402
276 2 561
277 2 632
278 1 839
279 2 801
280 1 300
281 1 806
282 2 347
283 1 948
284 1 167
285 2 952
286 1 291
287 1 760
288 2 101
289 2 880
290 1 886
291 2 368
292 2 58
293 1 409
294 1 251
295 1 997
296 1 717
297 2 953
298 1 649
299 2 363
300 2 224
301 2 523
302 1 291
303 2 591
304 2 129
305 2 677
306 2 602
307 1 803
308 1 553
309 1 627
310 2 182
311 1 888
312 1 264
313 2 539
314 2 163
315 2 125
316 1 153
317 1 690
318 2 741
319 2 532
320 2 432
321 1 169
322 2 627
323 2 68
324 1 404
325 2 304
326 2 91
327 1 646
328 1 699
329 2 635
330 1 610
331 2 219
332 1 612
333 2 627
334 2 160
335 2 193
336 1 741
337 1 683
338 2 520
339 2 258
340 1 340
341 2 179
342 2 279
343 2 534
344 1 191
345 1 255
346 1 936
347 2 633
348 2 626
349 1 742
350 1 970
351 2 952
352 2 231
353 2 51
354 1 335
355 2 740
356 2 384
357 2 384
358 1 766
359 1 885
360 1 926
361 2 634
362 1 228
363 1 632
364 1 218
365 1 333
366 1 53
367 1 190
368 2 19
369 2 871
370 1 433
371 2 253
372 2 366
373 1 253
374 2 553
375 2 155
376 2 180
377 1 87
378 2 66
379 2 929
380 1 821
381 2 864
382 2 324
383 2 52
384 2 730
385 2 606
386 2 898
387 1 275
388 1 682
389 1 14
390 1 475
391 1 734
392 1 118
393 1 122
394 1 220
395 1 768
396 2 657
397 2 411
398 2 38
399 2 187
400 2 993
401 2 460
402 1 288
403 1 261
404 1 397
405 2 128
406 2 291
407 2 53
408 2 194
409 2 426
410 2 888
411 2 918
412 1 124
413 2 654
414 1 844
415 1 192
416 1 921
417 1 922
418 1 963
419 1 81
420 2 436
421 2 151
422 2 538
423 2 783
424 2 925
425 2 226
426 1 629
427 1 81
428 1 457
429 2 760
430 2 865
431 1 247
432 2 926
433 2 995
434 1 350
435 1 781
436 1 308
437 1 738
438 2 791
439 1 780
440 1 525
441 2 389
442 2 393
443 2 368
444 1 346
445 1 587
446 1 703
447 1 130
448 1 463
449 2 546
450 1 367
451 1 732
452 1 543
453 1 746
454 1 227
455 1 941
456 1 304
457 1 539
458 1 269
459 2 661
460 2 210
461 1 983
462 1 500
463 2 94
464 2 59
465 1 357
466 2 827
467 2 136
468 2 28
469 1 168
470 1 175
471 2 711
472 2 19
473 2 667
474 1 945
475 1 627
476 1 992
477 1 466
478 1 387
479 1 666
480 1 918
481 1 11
482 1 895
483 1 428
484 2 683
485 2 807
486 1 447
487 2 84
488 1 668
489 2 626
490 1 868
491 1 618
492 1 67
493 1 448
494 2 899
495 2 383
496 1 181
497 1 845
498 1 699
499 2 63
500 2 147
1 440 54
2 148 13
1 2 471
2 1 198 196 103
3 1 304 149 101
4 2 479 438
5 2 87
6 2 104 438
7 1 16 306 215
8 2 257
9 1 490 44 416
10 2 323 401
11 2 133 312 392 317
12 1 199 260 330 156
13 1 357 116
14 1 414
15 1 344 414
16 2 191 318
17 2 341 36 430
18 1 458 280
19 2 454 317 481 81
20 2 105 483
21 1 202 268 301 133 85
22 1 170 206 32 416 284
23 2 394 485 161 426
24 1 423 400 495
25 1 72 112 462 34 304
26 1 369 392
27 1 363 247
28 2 202 75 463 490
29 2 42 216 394
30 1 158 323
31 2 64 236 373 13 104
32 2 78 140 124 11
33 1 124
34 1 413 191
35 2 151 286 43 325 410
36 2 179 49 334 489 476
37 2 277 397 368 421
38 2 383 152 265 101 418
39 2 118 337
40 2 370 352 65
41 1 236 459 40 392
42 1 293 165
43 1 27
44 1 488
45 1 417
46 2 25 185 307 140 268
47 1 263 41 417 26
48 2 262 27 236 69 117
49 2 411
50 2 286 351 370 475 19
51 1 145 377
52 2 203 253 36 61 53
53 2 203 235 314 1 469
54 1 145 252 134
55 1 354 79 113 400 78
56 1 479 362 16 91 89
57 1 325
58 1 383 371
59 2 138
60 1 14 470 492 234 174
61 2 362 283 327
62 1 457 483 142
63 1 351 369 225 43
64 1 340 152
65 2 338 208 172 125
66 2 485 226 207
67 1 376 113 54 112
68 1 221 392 447 187 422
69 1 70 116 388 151 448
70 1 434 435 477 192 373
71 1 376 431
72 2 11 292 260 500 331
73 2 219 99 347 435
74 2 113 439 122 390 303
75 1 42
76 1 118 475 171
77 2 252 251 348 468 85
78 1 455
79 1 123 266 376
80 2 366 448 302 173 273
81 1 151
82 1 150 8
83 1 275 492 467 220
84 2 195
85 1 388 50 465
86 1 297 396 119
87 2 72
88 2 234 343 4 271
89 1 234 281 471
90 1 4 126 162 341 57
91 1 469 405 2 278
92 1 188 478
93 2 331 237 299 145 21
94 2 9 121 168
95 2 14 30 228
96 1 465 57
97 2 148 490 303 204 299
98 2 269
99 1 414
100 1 487 68
101 2 348 42
102 1 174 482 41 499
103 2 38 153 377 397
104 2 243 37 20
105 2 351 220
106 1 429 263 87 267 33
107 2 62 332 217 431
108 1 281 356
109 2 69 355 112 467 397
110 2 37 194 246 114
111 2 498 142 45
112 1 292
113 1 462 1
114 2 46 287 263
115 2 248
116 2 144 101 2 221
117 2 291 25 293 463
118 2 193
119 2 244 207
120 2 431 82 315
121 1 410 174 34
122 2 293 131
123 1 316 466 61
124 2 70
125 1 321
126 1 477 37 138 214 243
127 2 122
128 1 172 231 479 345 455
129 1 401 194 495
130 2 53 362
131 1 389
132 2 168 125 463
133 2 385
134 2 399
135 2 357 487
136 1 146 178 163
137 1 223
138 1 405 419 101
139 2 474 325 151 172
140 2 207 116 216 385 80
141 2 301 3
142 1 69
143 1 399 244 149 495 119
144 1 416
145 2 185 147 68 175 478
146 1 72 379 400 255
147 2 370 413 136 342
148 2 178 69 400
149 2 334 218
150 2 393 6 307 359
151 2 220
152 1 396 399
153 1 109 18
154 2 371 408 127 174 402
155 2 67 340
156 2 24 362 10 105
157 2 116 277 36
158 1 320 101 304 247
159 2 74
160 2 332 270
161 2 108
162 2 381 209 436 122 168
163 2 82 148 486 191 69
164 2 402 330 38 82
165 2 482 296 128 472 110
166 2 203 4 239 19
167 1 78 62 118 23
168 2 429
169 1 144 391 436 11 384
170 2 457 2 36 117 477
171 1 62 323 347 474 446
172 1 472 179
173 1 71 327 260
174 1 455 134 52
175 1 444 319 121 180
176 2 249 149 124 137 61
177 2 368 172 299 309 415
178 2 303
179 2 108
180 1 469
181 2 159
182 1 162 291 364
183 2 81 130 262 404
184 2 274 414
185 1 169 427 58 447 203
186 1 378 135 30 184 276
187 1 84 228 108
188 1 151
189 2 329 141 469 312 151
190 1 176 434 343 362 430
191 2 389 346 66 495 125
192 1 435 437 355 359
193 1 364 294 246
194 2 293
195 2 273 352 200
196 2 302 169 216 10
197 1 368 330
198 1 365 448 21 310 432
199 1 377 202
200 1 184 418 396 97
