2000 100
1 93 888
2 37 539
3 68 692
4 77 889
5 48 371
6 27 110
7 14 604
8 70 848
9 49 907
10 89 576
11 84 553
12 10 71
13 26 387
14 83 954
15 94 173
16 90 927
17 29 404
18 99 795
19 14 472
20 15 96
21 9 179
22 37 924
23 78 726
24 5 649
25 79 689
26 31 816
27 66 473
28 56 33
29 70 319
30 87 746
31 10 167
32 63 133
33 42 408
34 64 640
35 66 923
36 54 553
37 22 219
38 99 767
39 50 892
40 25 984
41 64 821
42 74 649
43 80 512
44 78 835
45 69 412
46 6 147
47 66 751
48 25 550
49 43 265
50 67 18
51 55 995
52 7 30
53 96 348
54 97 259
55 63 743
56 94 897
57 23 452
58 38 844
59 84 847
60 14 895
61 92 207
62 38 551
63 6 931
64 48 722
65 45 748
66 86 50
67 3 845
68 97 588
69 87 97
70 87 990
71 55 66
72 66 531
73 100 928
74 21 347
75 82 451
76 80 710
77 58 545
78 71 297
79 98 376
80 54 586
81 66 859
82 40 502
83 51 173
84 78 747
85 29 708
86 60 177
87 47 70
88 93 157
89 65 63
90 40 373
91 81 614
92 90 581
93 12 504
94 99 806
95 22 15
96 84 565
97 63 522
98 29 444
99 88 942
100 60 337
101 8 221
102 98 373
103 34 780
104 49 171
105 75 574
106 85 709
107 27 545
108 33 161
109 60 749
110 70 301
111 59 248
112 33 760
113 91 892
114 50 184
115 49 234
116 13 137
117 31 389
118 50 821
119 63 147
120 1 156
121 5 491
122 94 241
123 12 774
124 38 258
125 95 444
126 30 154
127 92 667
128 34 587
129 96 384
130 75 358
131 63 89
132 97 459
133 81 317
134 58 669
135 23 813
136 85 620
137 72 147
138 75 964
139 79 135
140 52 215
141 9 607
142 17 400
143 14 599
144 44 893
145 24 370
146 59 630
147 3 47
148 11 12
149 77 835
150 15 928
151 74 736
152 26 907
153 18 243
154 54 154
155 8 50
156 8 453
157 3 923
158 45 874
159 12 120
160 42 500
161 47 395
162 12 922
163 24 363
164 41 485
165 50 121
166 88 389
167 1 475
168 63 24
169 20 577
170 37 449
171 90 753
172 41 35
173 61 290
174 65 313
175 70 618
176 70 88
177 67 218
178 3 593
179 8 55
180 61 917
181 3 509
182 2 470
183 46 554
184 16 382
185 87 195
186 88 143
187 51 976
188 4 396
189 67 357
190 56 391
191 80 150
192 77 394
193 8 384
194 44 68
195 55 130
196 39 353
197 48 429
198 90 558
199 60 858
200 78 252
201 62 571
202 83 931
203 90 749
204 8 151
205 66 712
206 68 686
207 51 505
208 61 243
209 23 433
210 62 602
211 95 25
212 35 690
213 87 339
214 86 813
215 47 911
216 95 252
217 100 731
218 26 831
219 32 147
220 18 906
221 76 177
222 24 709
223 60 254
224 86 893
225 48 28
226 61 740
227 16 28
228 88 890
229 48 190
230 77 799
231 20 48
232 84 669
233 16 351
234 4 439
235 48 614
236 23 879
237 62 846
238 93 406
239 11 969
240 2 506
241 28 705
242 90 927
243 96 973
244 94 695
245 9 954
246 49 168
247 87 708
248 88 207
249 42 408
250 77 473
251 66 776
252 100 524
253 66 318
254 30 816
255 69 26
256 9 355
257 93 228
258 7 200
259 38 36
260 27 20
261 59 665
262 34 434
263 42 962
264 10 669
265 72 586
266 51 653
267 60 530
268 5 940
269 77 727
270 41 575
271 31 795
272 85 750
273 35 521
274 5 691
275 66 607
276 42 948
277 81 649
278 45 790
279 7 238
280 11 609
281 88 899
282 54 99
283 27 11
284 100 381
285 56 831
286 72 640
287 3 296
288 1 31
289 66 485
290 67 366
291 36 817
292 59 719
293 35 249
294 31 280
295 49 153
296 56 603
297 56 707
298 63 692
299 22 478
300 68 29
301 68 975
302 88 131
303 59 403
304 31 893
305 42 789
306 54 764
307 95 884
308 47 620
309 81 36
310 47 793
311 13 153
312 34 747
313 75 83
314 58 148
315 36 217
316 55 597
317 31 333
318 85 98
319 7 184
320 41 574
321 88 951
322 61 757
323 59 161
324 20 15
325 71 332
326 48 556
327 97 168
328 87 357
329 35 776
330 93 164
331 48 957
332 47 200
333 1 243
334 67 799
